Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Chris Paul,LAC,,POR,W,32:42:00,10,19,0.526,2,5,0.4,6,6,1,3,3,6,11,2,0,2,3,28,28.2
2,Luol Deng,MIA,,CHO,W,32:46:00,11,13,0.846,4,6,0.667,5,7,0.714,3,4,7,1,1,0,1,4,31,27.9
3,Kyrie Irving,CLE,,DET,W,37:32:00,10,24,0.417,5,10,0.5,6,8,0.75,2,3,5,6,2,1,1,2,31,24.8
4,LeBron James,CLE,,DET,W,40:51:00,9,17,0.529,0,3,0,4,4,1,1,5,6,11,2,2,1,3,22,24.8
5,Hassan Whiteside,MIA,,CHO,W,26:16:00,9,11,0.818,0,0,,3,5,0.6,3,8,11,0,2,3,1,2,21,22.9
6,Blake Griffin,LAC,,POR,W,31:47:00,5,10,0.5,0,0,,9,12,0.75,2,10,12,6,1,1,2,1,19,20.7
7,Kawhi Leonard,SAS,,MEM,W,28:37:00,8,13,0.615,3,6,0.5,1,1,1,1,1,2,0,4,3,1,0,20,20.2
8,Kevin Love,CLE,,DET,W,38:19:00,10,22,0.455,4,8,0.5,4,5,0.8,3,10,13,1,1,0,2,2,28,20.2
9,DeAndre Jordan,LAC,,POR,W,32:25:00,5,7,0.714,0,0,,8,18,0.444,2,10,12,1,1,4,1,3,18,17.8
10,Patrick Mills,SAS,,MEM,W,19:12,4,8,0.5,3,7,0.429,4,4,1,0,4,4,2,2,0,0,0,15,15.6
11,Kentavious Caldwell-Pope,DET,@,CLE,L,38:22:00,7,14,0.5,4,8,0.5,3,4,0.75,0,2,2,3,0,0,0,2,21,15.5
12,Marcus Morris,DET,@,CLE,L,39:41:00,6,14,0.429,3,7,0.429,5,6,0.833,1,1,2,5,1,0,1,4,20,15.1
13,Nicolas Batum,CHO,@,MIA,L,40:11:00,7,14,0.5,3,7,0.429,7,10,0.7,0,2,2,1,2,0,3,3,24,14.9
14,Vince Carter,MEM,@,SAS,L,19:12,6,7,0.857,2,3,0.667,2,2,1,0,3,3,2,0,1,1,2,16,14.7
15,Gerald Henderson,POR,@,LAC,L,29:58:00,7,12,0.583,2,2,1,0,0,,1,1,2,3,2,0,0,2,16,14.7
16,Reggie Jackson,DET,@,CLE,L,33:41:00,7,12,0.583,2,4,0.5,1,1,1,0,2,2,7,1,0,3,3,17,13.7
17,Damian Lillard,POR,@,LAC,L,37:59:00,7,17,0.412,3,8,0.375,4,6,0.667,0,2,2,8,1,0,4,2,21,13.5
18,Dwyane Wade,MIA,,CHO,W,26:02:00,8,16,0.5,0,1,0,0,0,,1,3,4,7,0,0,1,1,16,13.1
19,LaMarcus Aldridge,SAS,,MEM,W,26:53:00,8,15,0.533,0,0,,1,1,1,3,1,4,0,0,2,1,1,17,12.1
20,Tony Parker,SAS,,MEM,W,20:35,6,10,0.6,0,0,,3,3,1,0,1,1,6,0,0,3,1,15,11.5
Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,J.J. Redick,LAC,,POR,W,26:38:00,8,12,0.667,1,3,0.333,0,0,,0,3,3,0,0,0,0,3,17,11.5
22,Lance Stephenson,MEM,@,SAS,L,28:35:00,6,11,0.545,2,4,0.5,0,0,,0,2,2,2,1,0,1,1,14,10.3
23,Kemba Walker,CHO,@,MIA,L,31:31:00,6,13,0.462,2,5,0.4,5,5,1,0,1,1,1,0,0,2,3,19,10.1
24,Cody Zeller,CHO,@,MIA,L,20:23,3,4,0.75,0,0,,3,4,0.75,1,6,7,1,0,0,0,1,9,9.8
25,Goran Dragic,MIA,,CHO,W,33:26:00,2,8,0.25,0,1,0,5,6,0.833,0,1,1,10,1,0,1,4,9,9.5
26,Amar'e Stoudemire,MIA,,CHO,W,16:34,4,6,0.667,0,0,,3,3,1,2,1,3,0,0,0,0,2,11,9.3
27,Andre Drummond,DET,@,CLE,L,36:32:00,6,14,0.429,0,1,0,1,2,0.5,3,8,11,0,0,1,0,3,13,9.2
28,Al Jefferson,CHO,@,MIA,L,23:26,4,8,0.5,0,0,,5,6,0.833,2,3,5,0,0,1,2,1,13,9.2
29,Joe Johnson,MIA,,CHO,W,26:26:00,5,8,0.625,1,2,0.5,0,0,,1,5,6,3,0,0,1,4,11,9.1
30,Tim Duncan,SAS,,MEM,W,21:57,3,4,0.75,0,0,,1,2,0.5,1,10,11,0,1,2,2,1,7,8.7
31,J.R. Smith,CLE,,DET,W,35:25:00,3,9,0.333,2,7,0.286,1,2,0.5,1,2,3,3,2,0,0,1,9,8.5
32,Justise Winslow,MIA,,CHO,W,27:06:00,4,6,0.667,0,1,0,0,0,,3,1,4,1,1,0,0,3,8,8.3
